группа,область
agri,биоинформатика
alexxy,биофизика
aogoi,физика
cadfem,машиностроение
cifra,машиностроение
cnti,машиностроение
cpi,физика
g2admin,геофизика
g2adminlim,геофизика
g2adminp,геофизика
geoscan,IT
geovation,геофизика
gpnntc,геофизика
heco,физика
ibsbhsbst,биофизика
ibsbncmu,биоинформатика
ibsbnicigt,биофизика
ibsbt,биофизика
iehses,энергетика
iethsapst,физика
ietniomin,физика
ietsdagm,машиностроение
ietsee,физика
ietskvht,энергетика
ietskvht1,энергетика
ietstgad1,энергетика
ietstgad2,энергетика
ietstgad3,энергетика
ietstoe,энергетика
ietstvnkt,энергетика
ietstvnkt1,энергетика
ikntcit,физика
immtllmk,металлургия
imsoran,геофизика
ioran,климат
ipgg,геофизика
ipmmfd,механика
ipmmfd1,механика
ipmmstudy1,IT
ipmmstudy2,IT
ipmmstudy3,IT
ipmmtm,механика
ipntcee,радиофизика
ipnteph,физика
ipnthsapst,физика
ipnthsep1,физика
ipntph,физика
ipntphel1,энергетика
ipntphsn,физика
ipntpph,физика
ipntqe,физика
ipntsr,астрофизика
ippt,машиностроение
iron,IT
lcfdat,машиностроение
lcfdat_post,машиностроение
map3d,IT
mfti,машиностроение
mktb,механика
ncmu,машиностроение
nilmbb,биоинформатика
nilmvo,биоинформатика
niluts,физика
niluts1,физика
nilvim,машиностроение
nocftgmn,физика
phmiph,физика
powerm,энергетика
ptgeos,геофизика
ranibch,биофизика
raniephb,биофизика
ranlpkb,IT
scantr,физика
sccg1,физика
tsagi,машиностроение
user50,энергетика
